gene,MetS,SI
ANKRD9,-4.450718512,1.3058940540000001
ANKS1A,8.117568976,-5.513259278
ANKS3,4.274193614,-8.199350082
ANKS6,-0.072805781,-11.42070585
ANKZF1,3.6548045960000004,-7.00178066
ANLN,4.924074881,-4.494966132
ANO10,6.360546638,2.107609195
ANO5,-3.028603007,1.7769460469999998
ANO6,-3.097652978,-3.694785927
ANO8,8.199918235,-5.532626241
ANO9,4.369023981000001,-1.906452373
ANP32A,0.977720815,-7.034539779
ANP32B,2.999782619,-7.880913856
ANP32E,-1.686274735,-3.938492877
ANPEP,11.05549761,4.806808724
ANTXR2,-1.08687936,-3.207219053
ANXA1,3.148713362,6.2092938239999995
ANXA11,1.5114241430000002,6.087697866
ANXA2,6.7283466679999995,8.229345141
ANXA2R,3.728196164,-1.773800029
ANXA3,5.914428567000001,4.767646076
ANXA5,10.77521969,-4.063033247
ANXA7,8.749907723,-9.861671647
ANXA9,-0.566459743,-10.95716265
AOAH,7.825556571,6.218074291000001
AOC1,-0.127050088,-6.814719615
AOC2,0.405711524,-11.51213263
AOC3,0.6009821710000001,-12.02811589
AOPEP,1.1246259809999999,-12.03690198
AP000769.1,0.463382625,-5.280286521
AP001062.1,0.21604359899999998,-10.33212486
AP002956.1,5.463346955,7.72313803
AP003774.1,3.94211077,-3.1508372610000004
AP1AR,-3.984774346,-4.040749324
AP1B1,8.659494029,4.058965606
AP1G1,2.877312785,-6.527858798
AP1M1,12.09442069,-0.939159188
AP1M2,3.992896395,3.608187239
AP1S1,1.166395183,9.809775092
AP1S2,0.302652835,-5.494780168999999
AP1S3,3.44907314,7.77623538
AP2A2,8.033591891,-1.126624181
AP2B1,6.283004935,4.6284902
AP2M1,1.859055318,8.68873355
AP2S1,0.298949778,9.028627509
AP3B1,2.661964579,-7.856468392999999
AP3B2,1.259147889,7.710741165
AP3D1,11.310189300000001,-2.145492216
AP3M1,-4.140185593,-4.903941181
AP3M2,5.483619589,-7.340944154
AP3S1,-3.775160838,-6.208592167000001
AP3S2,11.837221000000001,-5.043748796
AP4B1,7.814492922,-3.0027904289999996
AP4E1,5.765857442000001,-1.6515693919999999
AP4S1,-4.5826543730000004,-9.821391873
AP5M1,0.669997066,-7.4708595110000005
AP5S1,8.465280098,-7.936259112
APAF1,-2.319099967,-4.116071221
APBA1,10.74670588,-5.321958848
APBA2,3.034727412,-10.036474
APBB1,1.582595362,-11.05275704
APBB1IP,3.427324525,9.683303935
APBB2,-5.089123145,-7.643106722000001
APBB3,0.86665299,-8.614627658
APC,0.366604462,-5.33840349
APC2,11.09560795,-4.550914832
APCDD1,-4.321225699,-7.1597659039999995
APEH,11.04129889,-2.12350769
APEX1,2.728015322,-8.64687286
APEX2,8.962763332,2.825696148
APH1A,4.90961547,-10.14077412
APH1B,1.021376123,-8.273166576
API5,-2.445262653,-9.679349427
APIP,-1.022505797,-7.226382786
APLF,6.748014412000001,-10.95472141
APLP2,6.356533322000001,1.8970460930000002
APMAP,6.406274432999999,4.854858933
APOBEC2,0.233338438,1.101914604
APOBEC3A,-0.8033620340000001,1.3139335970000001
APOBEC3B,-0.081838244,8.924594006
APOBEC3F,1.4457713980000002,-1.7352826730000002
APOBEC3H,7.505434867000001,6.707701416
APOBR,1.8564530719999999,8.22890184
APOL1,2.8315848810000004,1.4489694780000002
APOL2,2.61387113,0.862653108
APOL3,5.6210069229999995,-5.390411224
APOL4,7.071535014,1.918342129
APOLD1,6.034491984,4.7907736839999995
APOO,3.305689749,2.906056515
APP,0.9229293409999999,-9.014055176
APPBP2,-4.980346641000001,-2.975203314
APPL1,-6.701279169,-3.480800535
APPL2,-2.229241285,-8.813693792999999
APTX,-2.309350394,-9.284246759
AQP10,-9.021522854,0.979377004
AQP11,-1.45275317,-7.517889525
AQP3,5.248822799999999,-11.37333431
AQP9,-0.737324153,6.1267868320000005
AQR,4.013157007,-8.076242895
AR,-3.108386546,1.336373022
ARAF,9.155957134,4.702938143
ARAP1,4.099424766,-0.700411955
ARAP2,-0.838807273,-0.10353517699999999
ARAP3,-2.042381515,-6.159005992000001
ARCN1,8.094304139,3.518191774
AREL1,3.328145765,-5.497632712000001
ARF1,9.472679856000001,1.731621481
ARF3,7.2033639979999995,0.9322077209999999
ARF4,2.581049225,-10.04477765
ARF5,0.9555909770000001,1.485689496
ARF6,8.819879468,0.7416127109999999
ARFGAP1,7.127323539,-1.34032668
ARFGAP2,6.919809987000001,-7.501587118
ARFGEF1,0.379082126,-6.380128632000001
ARFGEF2,-0.45660156,-8.316885621
ARFIP1,-4.81798178,-3.076320033
ARFIP2,5.777489403,-5.466712852000001
ARFRP1,9.240083177999999,1.218505999
ARG1,10.89211987,-5.344956872
ARG2,-3.79754339,-5.46881124
ARGLU1,-2.071126254,-7.397086555
ARHGAP1,11.42893419,-5.593323155
ARHGAP10,5.946129021,8.889950399
ARHGAP12,0.151854514,-8.086614926000001
ARHGAP15,-4.499198411,7.780497239
ARHGAP17,1.74738421,-10.79346695
ARHGAP18,0.08189458,0.82191071
ARHGAP21,-2.7744643769999997,7.78608629
ARHGAP22,5.223458127,-7.41832473
